Specialty,Division,Total_Retirements,Total_Retirements_History,Total_Retirements_Diff,Total_New_Hires,Total_New_Hires_History,Total_New_Hires_Diff,Net_Staffing_Balance,Net_Staffing_Balance_History,Net_Staffing_Balance_Diff
ΔΕ01.14,Δευτεροβάθμια Γενικής,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0,,"{""2024"": 0, ""2025"": 0}",,,"{""2024"": 0, ""2025"": 0}",
ΔΕ02.01,Δευτεροβάθμια Γενικής,2,"{""2024"": 6, ""2025"": 1, ""2026"": 2}",1,,"{""2024"": 0, ""2025"": 0}",,,"{""2024"": -6, ""2025"": -1}",
ΔΕ02.02,Δευτεροβάθμια Γενικής,8,"{""2024"": 9, ""2025"": 7, ""2026"": 8}",1,,"{""2024"": 0, ""2025"": 0}",,,"{""2024"": -9, ""2025"": -7}",
ΠΕ01,Δευτεροβάθμια Γενικής,160,"{""2024"": 102, ""2025"": 132, ""2026"": 160}",28,,"{""2024"": 141, ""2025"": 90}",,,"{""2024"": 39, ""2025"": -42}",
ΠΕ02,Δευτεροβάθμια Γενικής,562,"{""2024"": 445, ""2025"": 471, ""2026"": 562}",91,,"{""2024"": 1003, ""2025"": 101}",,,"{""2024"": 558, ""2025"": -370}",
ΠΕ03,Δευτεροβάθμια Γενικής,301,"{""2024"": 333, ""2025"": 340, ""2026"": 301}",-39,,"{""2024"": 900, ""2025"": 166}",,,"{""2024"": 567, ""2025"": -174}",
ΠΕ04.01,Δευτεροβάθμια Γενικής,179,"{""2024"": 173, ""2025"": 166, ""2026"": 179}",13,,"{""2024"": 277, ""2025"": 175}",,,"{""2024"": 104, ""2025"": 9}",
ΠΕ04.02,Δευτεροβάθμια Γενικής,69,"{""2024"": 86, ""2025"": 67, ""2026"": 69}",2,,"{""2024"": 247, ""2025"": 74}",,,"{""2024"": 161, ""2025"": 7}",
ΠΕ04.04,Δευτεροβάθμια Γενικής,44,"{""2024"": 38, ""2025"": 43, ""2026"": 44}",1,,"{""2024"": 133, ""2025"": 29}",,,"{""2024"": 95, ""2025"": -14}",
ΠΕ04.05,Δευτεροβάθμια Γενικής,32,"{""2024"": 45, ""2025"": 36, ""2026"": 32}",-4,,"{""2024"": 70, ""2025"": 22}",,,"{""2024"": 25, ""2025"": -14}",
ΠΕ05,Δευτεροβάθμια Γενικής,100,"{""2024"": 90, ""2025"": 86, ""2026"": 100}",14,,"{""2024"": 138, ""2025"": 70}",,,"{""2024"": 48, ""2025"": -16}",
ΠΕ06,Δευτεροβάθμια Γενικής,101,"{""2024"": 106, ""2025"": 108, ""2026"": 101}",-7,,"{""2024"": 200, ""2025"": 36}",,,"{""2024"": 94, ""2025"": -72}",
ΠΕ07,Δευτεροβάθμια Γενικής,44,"{""2024"": 38, ""2025"": 356, ""2026"": 44}",-312,,"{""2024"": 22, ""2025"": 8}",,,"{""2024"": -16, ""2025"": -348}",
ΠΕ08,Δευτεροβάθμια Γενικής,38,"{""2024"": 25, ""2025"": 31, ""2026"": 38}",7,,"{""2024"": 54, ""2025"": 25}",,,"{""2024"": 29, ""2025"": -6}",
ΠΕ11,Δευτεροβάθμια Γενικής,185,"{""2024"": 151, ""2025"": 188, ""2026"": 185}",-3,,"{""2024"": 116, ""2025"": 78}",,,"{""2024"": -35, ""2025"": -110}",
ΠΕ33,Δευτεροβάθμια Γενικής,0,"{""2024"": 0, ""2025"": 0, ""2026"": 0}",0,,"{""2024"": 25, ""2025"": 8}",,,"{""2024"": 25, ""2025"": 8}",
ΠΕ34,Δευτεροβάθμια Γενικής,0,"{""2024"": 1, ""2025"": 1, ""2026"": 0}",-1,,"{""2024"": 2, ""2025"": 0}",,,"{""2024"": 1, ""2025"": -1}",
ΠΕ78,Δευτεροβάθμια Γενικής,92,"{""2024"": 73, ""2025"": 85, ""2026"": 92}",7,,"{""2024"": 78, ""2025"": 70}",,,"{""2024"": 5, ""2025"": -15}",
ΠΕ79.01,Δευτεροβάθμια Γενικής,61,"{""2024"": 25, ""2025"": 53, ""2026"": 61}",8,,"{""2024"": 27, ""2025"": 32}",,,"{""2024"": 2, ""2025"": -21}",
ΠΕ80,Δευτεροβάθμια Γενικής,119,"{""2024"": 109, ""2025"": 124, ""2026"": 119}",-5,,"{""2024"": 198, ""2025"": 125}",,,"{""2024"": 89, ""2025"": 1}",
ΠΕ81,Δευτεροβάθμια Γενικής,47,"{""2024"": 42, ""2025"": 38, ""2026"": 47}",9,,"{""2024"": 57, ""2025"": 20}",,,"{""2024"": 15, ""2025"": -18}",
ΠΕ82,Δευτεροβάθμια Γενικής,70,"{""2024"": 74, ""2025"": 76, ""2026"": 70}",-6,,"{""2024"": 236, ""2025"": 70}",,,"{""2024"": 162, ""2025"": -6}",
ΠΕ83,Δευτεροβάθμια Γενικής,45,"{""2024"": 39, ""2025"": 49, ""2026"": 45}",-4,,"{""2024"": 134, ""2025"": 62}",,,"{""2024"": 95, ""2025"": 13}",
ΠΕ84,Δευτεροβάθμια Γενικής,31,"{""2024"": 17, ""2025"": 20, ""2026"": 31}",11,,"{""2024"": 79, ""2025"": 35}",,,"{""2024"": 62, ""2025"": 15}",
ΠΕ85,Δευτεροβάθμια Γενικής,6,"{""2024"": 11, ""2025"": 8, ""2026"": 6}",-2,,"{""2024"": 21, ""2025"": 4}",,,"{""2024"": 10, ""2025"": -4}",
ΠΕ86,Δευτεροβάθμια Γενικής,118,"{""2024"": 79, ""2025"": 72, ""2026"": 118}",46,,"{""2024"": 178, ""2025"": 49}",,,"{""2024"": 99, ""2025"": -23}",
ΠΕ87.01,Δευτεροβάθμια Γενικής,7,"{""2024"": 9, ""2025"": 9, ""2026"": 7}",-2,,"{""2024"": 42, ""2025"": 28}",,,"{""2024"": 33, ""2025"": 19}",
ΠΕ87.02,Δευτεροβάθμια Γενικής,21,"{""2024"": 11, ""2025"": 13, ""2026"": 21}",8,,"{""2024"": 58, ""2025"": 43}",,,"{""2024"": 47, ""2025"": 30}",
ΠΕ87.03,Δευτεροβάθμια Γενικής,3,"{""2024"": 2, ""2025"": 0, ""2026"": 3}",3,,"{""2024"": 20, ""2025"": 23}",,,"{""2024"": 18, ""2025"": 23}",
ΠΕ87.04,Δευτεροβάθμια Γενικής,4,"{""2024"": 11, ""2025"": 2, ""2026"": 4}",2,,"{""2024"": 12, ""2025"": 12}",,,"{""2024"": 1, ""2025"": 10}",
ΠΕ87.05,Δευτεροβάθμια Γενικής,3,"{""2024"": 1, ""2025"": 3, ""2026"": 3}",0,,"{""2024"": 0, ""2025"": 4}",,,"{""2024"": -1, ""2025"": 1}",
