code;name;branch_code;branch_name;educational_category;is_primary;is_secondary
ΠΕ60;ΝΗΠΙΑΓΩΓΟΙ;ΠΕ60;ΝΗΠΙΑΓΩΓΟΙ;ΠΕ;True;False
ΠΕ61;ΝΗΠΙΑΓΩΓΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ (ΕΑΕ);ΠΕ61;ΝΗΠΙΑΓΩΓΟΙ ΕΑΕ;ΠΕ;True;False
ΠΕ70;ΔΑΣΚΑΛΟΙ;ΠΕ70;ΔΑΣΚΑΛΟΙ;ΠΕ;True;False
ΠΕ71;ΔΑΣΚΑΛΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ (ΕΑΕ);ΠΕ71;ΔΑΣΚΑΛΟΙ ΕΑΕ;ΠΕ;True;False
ΔΕ01.14;ΚΟΠΤΙΚΗΣ - ΡΑΠΤΙΚΗΣ;ΔΕ01;ΔΕ01;ΔΕ;False;True
ΔΕ02.01;ΗΛΕΚΤΡΟΛΟΓΟΙ - ΗΛΕΚΤΡΟΝΙΚΟΙ;ΔΕ02;ΔΕ02;ΔΕ;False;True
ΔΕ02.02;ΜΗΧΑΝΟΛΟΓΟΙ;ΔΕ02;ΔΕ02;ΔΕ;False;True
ΠΕ01;ΘΕΟΛΟΓΟΙ;ΠΕ01;ΘΕΟΛΟΓΟΙ;ΠΕ;False;True
ΠΕ02;ΦΙΛΟΛΟΓΟΙ;ΠΕ02;ΦΙΛΟΛΟΓΟΙ;ΠΕ;False;True
ΠΕ03;ΜΑΘΗΜΑΤΙΚΟΙ;ΠΕ03;ΜΑΘΗΜΑΤΙΚΟΙ;ΠΕ;False;True
ΠΕ04.01;ΦΥΣΙΚΟΙ;ΠΕ04;ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ;ΠΕ;False;True
ΠΕ04.02;ΧΗΜΙΚΟΙ;ΠΕ04;ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ;ΠΕ;False;True
ΠΕ04.04;ΒΙΟΛΟΓΟΙ;ΠΕ04;ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ;ΠΕ;False;True
ΠΕ04.05;ΓΕΩΛΟΓΟΙ;ΠΕ04;ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ;ΠΕ;False;True
