Specialty,Division,Success_Count,Success_Count_History,Success_Count_Diff,Base_Score,Base_Score_History,Base_Score_Diff,Avg_Score,Avg_Score_History,Avg_Score_Diff,Top_5_Destination_Regions,Top_5_Competitive_Regions,National_Points_Range,National_Points_Range_History,National_Points_Range_Diff,Special_Category_Rate,Special_Category_Rate_History,Special_Category_Rate_Diff,Active_Regions_Rate,Active_Regions_Rate_History,Active_Regions_Rate_Diff,Leaving_Count,Leaving_Count_History,Leaving_Count_Diff,Top_5_Targeting_1st,Avg_Score_Applicants,Avg_Score_Applicants_History,Avg_Score_Applicants_Diff,Average_Preference_Count,Average_Preference_Count_History,Average_Preference_Count_Diff,Points_Entrance_Gap,Points_Entrance_Gap_History,Points_Entrance_Gap_Diff,Odds_of_Transfer,Odds_of_Transfer_History,Odds_of_Transfer_Diff,Waiting_List_Absolute,Waiting_List_Absolute_History,Waiting_List_Absolute_Diff
ΔΕ01.14,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,,{},,,{},,{},{},,{},,,{},,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,1,"{""2024"": 0, ""2025"": 1, ""2026"": 1}",0.0,"{""Γ' ΑΘΗΝΑΣ"": 1}",110.53,"{""2025"": 107.03, ""2026"": 110.53}",3.5,3.0,"{""2025"": 3.0, ""2026"": 3.0}",0.0,,{},,0.0,"{""2025"": 0.0, ""2026"": 0.0}",0.0,1,"{""2024"": 0, ""2025"": 1, ""2026"": 1}",0.0
ΔΕ02.01,Δευτεροβάθμια Γενικής,1,"{""2022"": 0, ""2023"": 0, ""2024"": 5, ""2025"": 1, ""2026"": 1}",0.0,22.37,"{""2024"": 29.47, ""2025"": 19.03, ""2026"": 22.37}",3.34,22.37,"{""2024"": 51.27, ""2025"": 19.03, ""2026"": 22.37}",3.34,"{""Α' ΠΕΙΡΑΙΑ"": 1}","{""Α' ΠΕΙΡΑΙΑ"": 22.37}",27.97,"{""2024"": 27.97}",,0.0,"{""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,1.28,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 3.85, ""2025"": 1.28, ""2026"": 1.28}",0.0,2,"{""2024"": 5, ""2025"": 2, ""2026"": 2}",0.0,"{""Δ' ΑΘΗΝΑΣ"": 2}",46.24,"{""2024"": 46.87, ""2025"": 41.32, ""2026"": 46.24}",4.92,2.0,"{""2024"": 8.33, ""2025"": 9.0, ""2026"": 2.0}",-7.0,-23.87,"{""2024"": 4.4, ""2025"": -22.29, ""2026"": -23.87}",-1.58,50.0,"{""2024"": 100.0, ""2025"": 50.0, ""2026"": 50.0}",0.0,1,"{""2024"": 0, ""2025"": 1, ""2026"": 1}",0.0
ΔΕ02.02,Δευτεροβάθμια Γενικής,1,"{""2022"": 1, ""2023"": 0, ""2024"": 9, ""2025"": 3, ""2026"": 1}",-2.0,22.32,"{""2022"": 72.59, ""2024"": 25.99, ""2025"": 41.3, ""2026"": 22.32}",-18.98,22.32,"{""2022"": 72.59, ""2024"": 51.26, ""2025"": 76.13, ""2026"": 22.32}",-53.81,"{""ΗΜΑΘΙΑΣ"": 1}","{""ΗΜΑΘΙΑΣ"": 22.32}",90.9,"{""2024"": 41.45, ""2025"": 90.9}",49.45,0.0,"{""2022"": 0.0, ""2024"": 11.11, ""2025"": 0.0, ""2026"": 0.0}",0.0,1.28,"{""2022"": 1.28, ""2023"": 0.0, ""2024"": 10.26, ""2025"": 3.85, ""2026"": 1.28}",-2.57,3,"{""2024"": 12, ""2025"": 6, ""2026"": 3}",-3.0,"{""ΑΧΑΙΑΣ"": 1, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1, ""ΚΟΖΑΝΗΣ"": 1}",50.08,"{""2024"": 50.74, ""2025"": 52.71, ""2026"": 50.08}",-2.63,2.0,"{""2024"": 6.29, ""2025"": 2.33, ""2026"": 2.0}",-0.33,-27.76,"{""2024"": 0.52, ""2025"": 23.42, ""2026"": -27.76}",-51.18,33.33,"{""2024"": 75.0, ""2025"": 50.0, ""2026"": 33.33}",-16.67,2,"{""2024"": 3, ""2025"": 3, ""2026"": 2}",-1.0
ΠΕ01,Δευτεροβάθμια Γενικής,127,"{""2022"": 43, ""2023"": 117, ""2024"": 70, ""2025"": 62, ""2026"": 127}",65.0,19.53,"{""2022"": 54.83, ""2023"": 22.23, ""2024"": 34.23, ""2025"": 19.17, ""2026"": 19.53}",0.36,105.32,"{""2022"": 136.05, ""2023"": 138.03, ""2024"": 140.61, ""2025"": 120.28, ""2026"": 105.32}",-14.96,"{""Α' ΑΘΗΝΑΣ"": 12, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 12, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 10, ""ΛΑΡΙΣΑΣ"": 8, ""ΗΜΑΘΙΑΣ"": 6}","{""ΤΡΙΚΑΛΩΝ"": 230.92, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 199.04, ""ΖΑΚΥΝΘΟΥ"": 174.03, ""Α' ΚΑΒΑΛΑΣ"": 165.55, ""ΠΙΕΡΙΑΣ"": 157.19}",211.39,"{""2022"": 228.75, ""2023"": 188.12, ""2024"": 210.14, ""2025"": 197.93, ""2026"": 211.39}",13.46,27.56,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 21.43, ""2025"": 11.29, ""2026"": 27.56}",16.27,47.44,"{""2022"": 26.92, ""2023"": 51.28, ""2024"": 35.9, ""2025"": 34.62, ""2026"": 47.44}",12.82,234,"{""2024"": 204, ""2025"": 191, ""2026"": 234}",43.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 44, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 19, ""ΛΑΡΙΣΑΣ"": 15, ""ΤΡΙΚΑΛΩΝ"": 14, ""Β' ΑΘΗΝΑΣ"": 10}",93.58,"{""2024"": 126.31, ""2025"": 117.07, ""2026"": 93.58}",-23.49,2.68,"{""2024"": 3.43, ""2025"": 3.4, ""2026"": 2.68}",-0.72,11.74,"{""2024"": 14.3, ""2025"": 3.21, ""2026"": 11.74}",8.53,54.27,"{""2024"": 34.31, ""2025"": 32.46, ""2026"": 54.27}",21.81,107,"{""2024"": 134, ""2025"": 129, ""2026"": 107}",-22.0
ΠΕ02,Δευτεροβάθμια Γενικής,525,"{""2022"": 246, ""2023"": 653, ""2024"": 400, ""2025"": 202, ""2026"": 525}",323.0,14.62,"{""2022"": 19.4, ""2023"": 9.99, ""2024"": 10.69, ""2025"": 13.86, ""2026"": 14.62}",0.76,91.44,"{""2022"": 111.51, ""2023"": 93.43, ""2024"": 94.52, ""2025"": 105.24, ""2026"": 91.44}",-13.8,"{""Α' ΑΘΗΝΑΣ"": 61, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 54, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 41, ""Δ' ΑΘΗΝΑΣ"": 38, ""ΧΑΛΚΙΔΙΚΗΣ"": 21}","{""ΦΩΚΙΔΑΣ"": 234.41, ""Α' ΚΥΚΛΑΔΩΝ"": 232.81, ""Β' ΠΕΙΡΑΙΑ"": 182.76, ""ΚΑΣΤΟΡΙΑΣ"": 180.28, ""ΡΟΔΟΠΗΣ"": 166.6}",219.79,"{""2022"": 410.05, ""2023"": 221.25, ""2024"": 210.12, ""2025"": 135.14, ""2026"": 219.79}",84.65,25.9,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 6.75, ""2025"": 13.37, ""2026"": 25.9}",12.53,76.92,"{""2022"": 46.15, ""2023"": 83.33, ""2024"": 62.82, ""2025"": 52.56, ""2026"": 76.92}",24.36,1434,"{""2024"": 826, ""2025"": 924, ""2026"": 1434}",510.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 196, ""Β' ΑΘΗΝΑΣ"": 107, ""Α' ΑΘΗΝΑΣ"": 93, ""Δ' ΑΘΗΝΑΣ"": 78, ""ΛΑΡΙΣΑΣ"": 70}",69.11,"{""2024"": 88.01, ""2025"": 82.63, ""2026"": 69.11}",-13.52,2.26,"{""2024"": 1.69, ""2025"": 2.35, ""2026"": 2.26}",-0.09,22.33,"{""2024"": 6.51, ""2025"": 22.61, ""2026"": 22.33}",-0.28,36.61,"{""2024"": 48.43, ""2025"": 21.86, ""2026"": 36.61}",14.75,909,"{""2024"": 426, ""2025"": 722, ""2026"": 909}",187.0
ΠΕ03,Δευτεροβάθμια Γενικής,171,"{""2022"": 51, ""2023"": 297, ""2024"": 232, ""2025"": 118, ""2026"": 171}",53.0,13.87,"{""2022"": 65.07, ""2023"": 13.28, ""2024"": 13.37, ""2025"": 24.45, ""2026"": 13.87}",-10.58,70.83,"{""2022"": 115.39, ""2023"": 66.89, ""2024"": 70.0, ""2025"": 70.86, ""2026"": 70.83}",-0.03,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 22, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 12, ""ΧΑΝΙΩΝ"": 11, ""ΧΑΛΚΙΔΙΚΗΣ"": 10, ""Α' ΜΑΓΝΗΣΙΑΣ"": 9}","{""Β' ΚΥΚΛΑΔΩΝ"": 267.1, ""ΘΕΣΠΡΩΤΙΑΣ"": 257.55, ""Δ' ΚΥΚΛΑΔΩΝ"": 193.25, ""Γ' ΚΥΚΛΑΔΩΝ"": 114.92, ""ΚΟΖΑΝΗΣ"": 96.16}",253.23,"{""2022"": 146.56, ""2023"": 309.23, ""2024"": 277.79, ""2025"": 125.45, ""2026"": 253.23}",127.78,20.47,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 4.31, ""2025"": 5.93, ""2026"": 20.47}",14.54,61.54,"{""2022"": 21.79, ""2023"": 69.23, ""2024"": 67.95, ""2025"": 44.87, ""2026"": 61.54}",16.67,651,"{""2024"": 323, ""2025"": 353, ""2026"": 651}",298.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 75, ""ΑΧΑΙΑΣ"": 43, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 40, ""Β' ΑΘΗΝΑΣ"": 27, ""Δ' ΑΘΗΝΑΣ"": 27}",51.22,"{""2024"": 60.24, ""2025"": 57.67, ""2026"": 51.22}",-6.45,2.19,"{""2024"": 1.61, ""2025"": 2.08, ""2026"": 2.19}",0.11,19.61,"{""2024"": 9.76, ""2025"": 13.19, ""2026"": 19.61}",6.42,26.27,"{""2024"": 71.83, ""2025"": 33.43, ""2026"": 26.27}",-7.16,480,"{""2024"": 91, ""2025"": 235, ""2026"": 480}",245.0
ΠΕ04.01,Δευτεροβάθμια Γενικής,129,"{""2022"": 79, ""2023"": 123, ""2024"": 103, ""2025"": 63, ""2026"": 129}",66.0,37.71,"{""2022"": 25.16, ""2023"": 43.72, ""2024"": 55.51, ""2025"": 16.36, ""2026"": 37.71}",21.35,99.84,"{""2022"": 127.63, ""2023"": 129.17, ""2024"": 120.44, ""2025"": 118.38, ""2026"": 99.84}",-18.54,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 21, ""ΑΧΑΙΑΣ"": 10, ""Β' ΑΘΗΝΑΣ"": 9, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 9, ""ΛΑΡΙΣΑΣ"": 7}","{""ΦΛΩΡΙΝΑΣ"": 167.93, ""ΚΑΡΔΙΤΣΑΣ"": 164.47, ""ΤΡΙΚΑΛΩΝ"": 163.81, ""ΗΡΑΚΛΕΙΟΥ"": 150.98, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 138.95}",130.22,"{""2022"": 183.59, ""2023"": 261.64, ""2024"": 123.12, ""2025"": 286.64, ""2026"": 130.22}",-156.42,20.93,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 3.88, ""2025"": 9.52, ""2026"": 20.93}",11.41,42.31,"{""2022"": 26.92, ""2023"": 48.72, ""2024"": 46.15, ""2025"": 30.77, ""2026"": 42.31}",11.54,270,"{""2024"": 222, ""2025"": 199, ""2026"": 270}",71.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 35, ""Β' ΑΘΗΝΑΣ"": 18, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 16, ""ΗΡΑΚΛΕΙΟΥ"": 13, ""ΤΡΙΚΑΛΩΝ"": 12}",85.7,"{""2024"": 111.07, ""2025"": 105.26, ""2026"": 85.7}",-19.56,1.88,"{""2024"": 1.76, ""2025"": 2.05, ""2026"": 1.88}",-0.17,14.14,"{""2024"": 9.37, ""2025"": 13.12, ""2026"": 14.14}",1.02,47.78,"{""2024"": 46.4, ""2025"": 31.66, ""2026"": 47.78}",16.12,141,"{""2024"": 119, ""2025"": 136, ""2026"": 141}",5.0
ΠΕ04.02,Δευτεροβάθμια Γενικής,66,"{""2022"": 13, ""2023"": 82, ""2024"": 64, ""2025"": 39, ""2026"": 66}",27.0,21.0,"{""2022"": 81.96, ""2023"": 7.95, ""2024"": 11.83, ""2025"": 19.7, ""2026"": 21.0}",1.3,64.74,"{""2022"": 111.32, ""2023"": 57.23, ""2024"": 61.11, ""2025"": 69.28, ""2026"": 64.74}",-4.54,"{""ΑΧΑΙΑΣ"": 9, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""Β' ΑΘΗΝΑΣ"": 5, ""ΦΘΙΩΤΙΔΑΣ"": 4, ""Α' ΠΕΙΡΑΙΑ"": 4}","{""ΚΑΡΔΙΤΣΑΣ"": 123.92, ""ΗΛΕΙΑΣ"": 113.56, ""Δ' ΚΥΚΛΑΔΩΝ"": 111.49, ""ΚΑΣΤΟΡΙΑΣ"": 94.86, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 91.26}",102.92,"{""2022"": 61.4, ""2023"": 125.52, ""2024"": 116.48, ""2025"": 108.6, ""2026"": 102.92}",-5.68,13.64,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 6.25, ""2025"": 20.51, ""2026"": 13.64}",-6.87,38.46,"{""2022"": 11.54, ""2023"": 42.31, ""2024"": 41.03, ""2025"": 29.49, ""2026"": 38.46}",8.97,200,"{""2024"": 109, ""2025"": 93, ""2026"": 200}",107.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 22, ""ΑΧΑΙΑΣ"": 18, ""ΙΩΑΝΝΙΝΩΝ"": 15, ""ΗΡΑΚΛΕΙΟΥ"": 14, ""Β' ΑΘΗΝΑΣ"": 13}",51.66,"{""2024"": 55.76, ""2025"": 60.52, ""2026"": 51.66}",-8.86,1.78,"{""2024"": 1.83, ""2025"": 1.97, ""2026"": 1.78}",-0.19,13.08,"{""2024"": 5.35, ""2025"": 8.76, ""2026"": 13.08}",4.32,33.0,"{""2024"": 58.72, ""2025"": 41.94, ""2026"": 33.0}",-8.94,134,"{""2024"": 45, ""2025"": 54, ""2026"": 134}",80.0
ΠΕ04.04,Δευτεροβάθμια Γενικής,85,"{""2022"": 7, ""2023"": 115, ""2024"": 107, ""2025"": 35, ""2026"": 85}",50.0,16.5,"{""2022"": 81.9, ""2023"": 10.44, ""2024"": 7.52, ""2025"": 8.2, ""2026"": 16.5}",8.3,53.82,"{""2022"": 106.08, ""2023"": 53.95, ""2024"": 47.98, ""2025"": 59.71, ""2026"": 53.82}",-5.89,"{""Β' ΑΘΗΝΑΣ"": 7, ""Δ' ΑΘΗΝΑΣ"": 7, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 4, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 4}","{""ΗΡΑΚΛΕΙΟΥ"": 125.69, ""ΚΑΣΤΟΡΙΑΣ"": 79.03, ""ΑΧΑΙΑΣ"": 74.53, ""Α' ΠΕΙΡΑΙΑ"": 73.81, ""Α' ΕΒΡΟΥ"": 71.34}",109.19,"{""2022"": 89.94, ""2023"": 129.88, ""2024"": 133.83, ""2025"": 97.1, ""2026"": 109.19}",12.09,12.94,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 3.74, ""2025"": 8.57, ""2026"": 12.94}",4.37,51.28,"{""2022"": 7.69, ""2023"": 51.28, ""2024"": 51.28, ""2025"": 30.77, ""2026"": 51.28}",20.51,263,"{""2024"": 198, ""2025"": 181, ""2026"": 263}",82.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 30, ""ΗΡΑΚΛΕΙΟΥ"": 27, ""ΙΩΑΝΝΙΝΩΝ"": 25, ""Δ' ΑΘΗΝΑΣ"": 21, ""Β' ΑΘΗΝΑΣ"": 18}",43.63,"{""2024"": 41.88, ""2025"": 42.94, ""2026"": 43.63}",0.69,1.81,"{""2024"": 2.41, ""2025"": 2.56, ""2026"": 1.81}",-0.75,10.19,"{""2024"": 6.1, ""2025"": 16.77, ""2026"": 10.19}",-6.58,32.32,"{""2024"": 54.04, ""2025"": 19.34, ""2026"": 32.32}",12.98,178,"{""2024"": 91, ""2025"": 146, ""2026"": 178}",32.0
ΠΕ04.05,Δευτεροβάθμια Γενικής,28,"{""2022"": 5, ""2023"": 34, ""2024"": 33, ""2025"": 17, ""2026"": 28}",11.0,24.6,"{""2022"": 67.82, ""2023"": 18.2, ""2024"": 12.25, ""2025"": 32.53, ""2026"": 24.6}",-7.93,43.46,"{""2022"": 115.05, ""2023"": 57.81, ""2024"": 51.14, ""2025"": 68.39, ""2026"": 43.46}",-24.93,"{""ΚΟΖΑΝΗΣ"": 2, ""ΑΧΑΙΑΣ"": 2, ""ΤΡΙΚΑΛΩΝ"": 2, ""ΞΑΝΘΗΣ"": 2, ""ΠΕΛΛΑΣ"": 2}","{""ΣΕΡΡΩΝ"": 69.68, ""Β' ΔΩΔΕΚΑΝΗΣΟΥ"": 67.07, ""ΤΡΙΚΑΛΩΝ"": 55.62, ""ΠΕΛΛΑΣ"": 51.99, ""ΞΑΝΘΗΣ"": 49.99}",45.08,"{""2022"": 113.16, ""2023"": 113.44, ""2024"": 117.51, ""2025"": 85.07, ""2026"": 45.08}",-39.99,32.14,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 11.76, ""2026"": 32.14}",20.38,28.21,"{""2022"": 6.41, ""2023"": 28.21, ""2024"": 29.49, ""2025"": 19.23, ""2026"": 28.21}",8.98,94,"{""2024"": 61, ""2025"": 55, ""2026"": 94}",39.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 21, ""ΚΟΖΑΝΗΣ"": 7, ""ΑΧΑΙΑΣ"": 7, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 6, ""ΠΙΕΡΙΑΣ"": 5}",36.74,"{""2024"": 42.45, ""2025"": 42.73, ""2026"": 36.74}",-5.99,2.72,"{""2024"": 2.07, ""2025"": 2.49, ""2026"": 2.72}",0.23,6.72,"{""2024"": 8.69, ""2025"": 25.66, ""2026"": 6.72}",-18.94,29.79,"{""2024"": 54.1, ""2025"": 30.91, ""2026"": 29.79}",-1.12,66,"{""2024"": 28, ""2025"": 38, ""2026"": 66}",28.0
